# wavelength flux error
5.786961e+03 6.827024e-16 1.000000e-20
5.788214e+03 6.906188e-16 1.000000e-20
5.789466e+03 7.074213e-16 1.000000e-20
5.790718e+03 7.016351e-16 1.000000e-20
5.791971e+03 6.933527e-16 1.000000e-20
5.793223e+03 7.242214e-16 1.000000e-20
5.794475e+03 7.121065e-16 1.000000e-20
5.795728e+03 6.963666e-16 1.000000e-20
5.796980e+03 7.169036e-16 1.000000e-20
5.798232e+03 7.022358e-16 1.000000e-20
5.799484e+03 7.025850e-16 1.000000e-20
5.800737e+03 7.132920e-16 1.000000e-20
5.801989e+03 7.067947e-16 1.000000e-20
5.803241e+03 7.139741e-16 1.000000e-20
5.804494e+03 6.865448e-16 1.000000e-20
5.805746e+03 7.060096e-16 1.000000e-20
5.806998e+03 7.292984e-16 1.000000e-20
5.808250e+03 6.976697e-16 1.000000e-20
5.809503e+03 6.958754e-16 1.000000e-20
5.810755e+03 7.113308e-16 1.000000e-20
5.812007e+03 7.195501e-16 1.000000e-20
5.813260e+03 7.081100e-16 1.000000e-20
5.814512e+03 7.103256e-16 1.000000e-20
5.815764e+03 7.115671e-16 1.000000e-20
5.817017e+03 7.202610e-16 1.000000e-20
5.818269e+03 7.220219e-16 1.000000e-20
5.819521e+03 7.372892e-16 1.000000e-20
5.820773e+03 7.118443e-16 1.000000e-20
5.822026e+03 7.221656e-16 1.000000e-20
5.823278e+03 7.121023e-16 1.000000e-20
5.824530e+03 7.178800e-16 1.000000e-20
5.825783e+03 7.230233e-16 1.000000e-20
5.827035e+03 7.073009e-16 1.000000e-20
5.828287e+03 7.249804e-16 1.000000e-20
5.829540e+03 7.096501e-16 1.000000e-20
5.830792e+03 7.187891e-16 1.000000e-20
5.832044e+03 7.259890e-16 1.000000e-20
5.833296e+03 7.064811e-16 1.000000e-20
5.834549e+03 7.131323e-16 1.000000e-20
5.835801e+03 7.103777e-16 1.000000e-20
5.837054e+03 6.940484e-16 1.000000e-20
5.838306e+03 6.862180e-16 1.000000e-20
5.839558e+03 6.959620e-16 1.000000e-20
5.840811e+03 6.959942e-16 1.000000e-20
5.842062e+03 7.184167e-16 1.000000e-20
5.843315e+03 7.196946e-16 1.000000e-20
5.844567e+03 7.110663e-16 1.000000e-20
5.845819e+03 6.913468e-16 1.000000e-20
5.847072e+03 7.101130e-16 1.000000e-20
5.848324e+03 6.918363e-16 1.000000e-20
5.849577e+03 6.741326e-16 1.000000e-20
5.850829e+03 6.815547e-16 1.000000e-20
5.852081e+03 6.880047e-16 1.000000e-20
5.853333e+03 6.829932e-16 1.000000e-20
5.854586e+03 6.960779e-16 1.000000e-20
5.855838e+03 6.819429e-16 1.000000e-20
5.857090e+03 6.921495e-16 1.000000e-20
5.858343e+03 6.606031e-16 1.000000e-20
5.859595e+03 6.762274e-16 1.000000e-20
5.860847e+03 6.934810e-16 1.000000e-20
5.862100e+03 7.032183e-16 1.000000e-20
5.863352e+03 6.837124e-16 1.000000e-20
5.864604e+03 6.838895e-16 1.000000e-20
5.865856e+03 6.745998e-16 1.000000e-20
5.867109e+03 6.924729e-16 1.000000e-20
5.868361e+03 6.678681e-16 1.000000e-20
5.869613e+03 6.817716e-16 1.000000e-20
5.870866e+03 6.670148e-16 1.000000e-20
5.872118e+03 6.633461e-16 1.000000e-20
5.873370e+03 6.432950e-16 1.000000e-20
5.874623e+03 6.477465e-16 1.000000e-20
5.875875e+03 6.335330e-16 1.000000e-20
5.877127e+03 6.507769e-16 1.000000e-20
5.878379e+03 6.636720e-16 1.000000e-20
5.879632e+03 6.365252e-16 1.000000e-20
5.880884e+03 6.270020e-16 1.000000e-20
5.882136e+03 6.371568e-16 1.000000e-20
5.883389e+03 6.339199e-16 1.000000e-20
5.884641e+03 6.336835e-16 1.000000e-20
5.885893e+03 6.307198e-16 1.000000e-20
5.887146e+03 6.290656e-16 1.000000e-20
5.888398e+03 6.215024e-16 1.000000e-20
5.889650e+03 5.928496e-16 1.000000e-20
5.890902e+03 5.950793e-16 1.000000e-20
5.892155e+03 6.478927e-16 1.000000e-20
5.893407e+03 5.835430e-16 1.000000e-20
5.894659e+03 6.075087e-16 1.000000e-20
5.895912e+03 6.204930e-16 1.000000e-20
5.897164e+03 6.094021e-16 1.000000e-20
5.898416e+03 5.626934e-16 1.000000e-20
5.899668e+03 5.789151e-16 1.000000e-20
5.900921e+03 5.868241e-16 1.000000e-20
5.902173e+03 5.988091e-16 1.000000e-20
5.903425e+03 5.912640e-16 1.000000e-20
5.904678e+03 5.851944e-16 1.000000e-20
5.905930e+03 6.063559e-16 1.000000e-20
5.907183e+03 5.974815e-16 1.000000e-20
5.908435e+03 5.997121e-16 1.000000e-20
5.909687e+03 6.149747e-16 1.000000e-20
5.910939e+03 6.052173e-16 1.000000e-20
5.912191e+03 6.152315e-16 1.000000e-20
5.913444e+03 5.997402e-16 1.000000e-20
5.914696e+03 5.775540e-16 1.000000e-20
5.915948e+03 5.923856e-16 1.000000e-20
5.917201e+03 5.916531e-16 1.000000e-20
5.918453e+03 5.780953e-16 1.000000e-20
5.919706e+03 5.881288e-16 1.000000e-20
5.920958e+03 5.889756e-16 1.000000e-20
5.922210e+03 5.892128e-16 1.000000e-20
5.923462e+03 5.637873e-16 1.000000e-20
5.924715e+03 5.680560e-16 1.000000e-20
5.925967e+03 6.008967e-16 1.000000e-20
5.927219e+03 5.951565e-16 1.000000e-20
5.928472e+03 5.943834e-16 1.000000e-20
5.929724e+03 5.902497e-16 1.000000e-20
5.930976e+03 5.899732e-16 1.000000e-20
5.932229e+03 5.834065e-16 1.000000e-20
5.933480e+03 5.754599e-16 1.000000e-20
5.934733e+03 5.969545e-16 1.000000e-20
5.935985e+03 5.702034e-16 1.000000e-20
5.937238e+03 5.921777e-16 1.000000e-20
