Filename,SN Name,z,6150A Vel,6150A V_Err,6150A pEW,6150A pEW_Err,5800A Vel,5800A V_Err,5800A pEW,5800A pEW_Err
SN2003gn.json,SN2003gn,0.03445,13.372833590589114,0.16902649217872837,135.6678893498163,6.783394467490815,11.678943419818193,0.17891053511528218,9.704464021409555,0.4852232010704778
SN2008hu.json,SN2008hu,0.05056,,,,,,,,
SN2006cp.json,SN2006cp,0.022289,16.603011144294758,0.09540200511045911,154.21383858209248,7.710691929104624,14.338488934568582,0.1008188153047332,8.333915951327466,0.4166957975663733
SN2005M.json,SN2005M,0.022972,8.557717765742039,0.09298408202982274,38.75032096699404,1.937516048349702,8.18986388018967,0.09881866169496721,5.265276313564785,0.26326381567823925
SN2003cg.json,SN2003cg,0.00413,12.321741132210262,0.06730620040129053,91.68518665171466,4.5842593325857335,9.939223224666232,0.07108686700070362,45.65337328759265,2.282668664379633
SN2002cr.json,SN2002cr,0.00948,12.418801974122049,0.09293149391965538,120.97258814510289,6.048629407255145,10.579444962681823,0.0983179892153842,20.07340667839952,1.0036703339199762
ASASSN-15hf.json,ASASSN-15hf,0.006178,11.036527029384484,0.13596622834839558,64.10480170916512,3.205240085458256,9.102516379842998,0.14379655109302011,2.189846952972717,0.10949234764863586
SN2001en.json,SN2001en,0.015871,12.916782408814273,0.09248763841193618,133.90378186952395,6.695189093476198,10.41149171039391,0.09764850458173988,9.334622376457746,0.4667311188228873
SN2002eb.json,SN2002eb,0.027536,10.183887341950557,0.17301076703614682,63.85869976630556,3.192934988315278,9.985317013182112,0.18396635207566991,8.322815763864844,0.4161407881932422
SN2014dn.json,SN2014dn,0.022189,,,,,,,,
SN2006D.json,SN2006D,0.008529,,,,,,,,
SN2012ht.json,SN2012ht,0.003559,,,,,,,,
ASASSN-14kq.json,ASASSN-14kq,0.0336,,,,,,,,
SN2005bg.json,SN2005bg,0.024159,17.3031083666115,0.1292559162219369,95.2196116064071,4.760980580320355,,,,
SN2001V.json,SN2001V,0.01502,13.714754205830452,0.09274898739297271,38.89368428025802,1.9446842140129013,,,,
SN2012hl.json,SN2012hl,0.033,13.57002038118208,0.11002014678966773,123.43905312158702,6.171952656079352,10.016613006314046,0.11578600024862937,5.323194629690564,0.2661597314845282
SN2002dj.json,SN2002dj,0.009393,17.251113574753955,0.1485188604518028,152.52436454217113,7.626218227108557,15.049110725055625,0.1569860082578436,26.04265543329836,1.302132771664918
SN2013E.json,SN2013E,0.009413,11.842308109576543,0.1590537920584997,63.27840776793232,3.1639203883966163,7.277565516746007,0.16683244707335676,6.164536606976194,0.3082268303488097
SN2009D.json,SN2009D,0.025007,18.001174991537916,0.13804522285692536,50.27651010324637,2.513825505162319,,,,
SN2002bo.json,SN2002bo,0.00424,17.37487453461088,0.10828896072378155,128.35578699997336,6.417789349998668,16.693750803223992,0.11498485663097668,27.393944640786806,1.3696972320393404
SN2007as.json,SN2007as,0.017896,18.77837650069081,0.1499812494020084,120.33246569416207,6.016623284708103,,,,
SN2002he.json,SN2002he,0.024564,13.98855577676106,0.0910271387476519,109.48848677885731,5.474424338942866,13.155216259176159,0.09660611062722751,26.358326933996256,1.317916346699813
LSQ15aja.json,LSQ15aja,0.068,,,,,,,,
SN2006le.json,SN2006le,0.017432,19.51805644693709,0.09704611965487753,102.83538745919502,5.141769372959751,,,,
