# wavelength flux error
6.660339e+03 2.324669e-15 2.000000e-20
6.664505e+03 1.706222e-15 1.732051e-20
6.668672e+03 1.675387e-15 1.732051e-20
6.672838e+03 2.219770e-15 2.000000e-20
6.677004e+03 1.690143e-15 1.732051e-20
6.681171e+03 1.648950e-15 1.732051e-20
6.685337e+03 2.154299e-15 2.000000e-20
6.689504e+03 1.648667e-15 1.732051e-20
6.693670e+03 1.637569e-15 1.732051e-20
6.697836e+03 2.169156e-15 2.000000e-20
6.702003e+03 1.581341e-15 1.732051e-20
6.706169e+03 1.575368e-15 1.732051e-20
6.710336e+03 2.047143e-15 2.000000e-20
6.714502e+03 1.520549e-15 1.732051e-20
6.718669e+03 1.552419e-15 1.732051e-20
6.722835e+03 1.566910e-15 1.732051e-20
6.727001e+03 2.074470e-15 2.000000e-20
6.731168e+03 1.560286e-15 1.732051e-20
6.735334e+03 1.525275e-15 1.732051e-20
6.739501e+03 2.056220e-15 2.000000e-20
6.743667e+03 1.521442e-15 1.732051e-20
6.747833e+03 1.505977e-15 1.732051e-20
6.752000e+03 2.025293e-15 2.000000e-20
6.756166e+03 1.521299e-15 1.732051e-20
6.760333e+03 1.572060e-15 1.732051e-20
6.764499e+03 1.978083e-15 2.000000e-20
6.768665e+03 1.514301e-15 1.732051e-20
6.772832e+03 1.464137e-15 1.732051e-20
6.776998e+03 1.830269e-15 2.000000e-20
6.781165e+03 1.660536e-15 1.732051e-20
6.785331e+03 1.471784e-15 1.732051e-20
6.789497e+03 1.887448e-15 2.000000e-20
6.793664e+03 1.412663e-15 1.732051e-20
6.797830e+03 1.445258e-15 1.732051e-20
6.801997e+03 1.998523e-15 2.000000e-20
6.806163e+03 1.504720e-15 1.732051e-20
6.810330e+03 1.412634e-15 1.732051e-20
6.814496e+03 1.843069e-15 2.000000e-20
6.818662e+03 1.383209e-15 1.732051e-20
6.822829e+03 1.392665e-15 1.732051e-20
6.826995e+03 1.805420e-15 2.000000e-20
6.831162e+03 1.373477e-15 1.732051e-20
6.835328e+03 1.394516e-15 1.732051e-20
6.839494e+03 1.857680e-15 2.000000e-20
6.843661e+03 1.358786e-15 1.732051e-20
6.847827e+03 1.360318e-15 1.732051e-20
6.851994e+03 1.835516e-15 2.000000e-20
6.856160e+03 1.339140e-15 1.732051e-20
6.860326e+03 1.341974e-15 1.732051e-20
6.864493e+03 1.802294e-15 2.000000e-20
6.868659e+03 1.298125e-15 1.732051e-20
6.872826e+03 1.313619e-15 1.732051e-20
6.876992e+03 1.769067e-15 2.000000e-20
6.881158e+03 1.338367e-15 1.732051e-20
6.885325e+03 1.269614e-15 1.732051e-20
6.889491e+03 1.763504e-15 2.000000e-20
6.893658e+03 1.281982e-15 1.732051e-20
6.897824e+03 1.274484e-15 1.732051e-20
6.901991e+03 1.679904e-15 2.000000e-20
6.906157e+03 1.279301e-15 1.732051e-20
6.910323e+03 1.260743e-15 1.732051e-20
6.914490e+03 1.701792e-15 2.000000e-20
6.918656e+03 1.235605e-15 1.732051e-20
6.922823e+03 1.213568e-15 1.732051e-20
6.926989e+03 1.644520e-15 2.000000e-20
6.931155e+03 1.234940e-15 1.732051e-20
6.935322e+03 1.265783e-15 1.732051e-20
6.939488e+03 1.221646e-15 1.732051e-20
6.943655e+03 1.648850e-15 2.000000e-20
6.947821e+03 1.200473e-15 1.732051e-20
6.951987e+03 1.194954e-15 1.732051e-20
6.956154e+03 1.677222e-15 2.000000e-20
6.960320e+03 1.184067e-15 1.732051e-20
6.964487e+03 1.220201e-15 1.732051e-20
6.968653e+03 1.640916e-15 2.000000e-20
6.972819e+03 1.186913e-15 1.732051e-20
6.976986e+03 1.198298e-15 1.732051e-20
6.981152e+03 1.580753e-15 2.000000e-20
6.985319e+03 1.188814e-15 1.732051e-20
6.989485e+03 1.171436e-15 1.732051e-20
6.993652e+03 1.566515e-15 2.000000e-20
6.997818e+03 1.170407e-15 1.732051e-20
7.001984e+03 1.200787e-15 1.732051e-20
7.006151e+03 1.612010e-15 2.000000e-20
7.010317e+03 1.163513e-15 1.732051e-20
7.014484e+03 1.149323e-15 1.732051e-20
7.018650e+03 1.550830e-15 2.000000e-20
7.022816e+03 1.150871e-15 1.732051e-20
7.026983e+03 1.145535e-15 1.732051e-20
7.031149e+03 1.563132e-15 2.000000e-20
7.035316e+03 1.162441e-15 1.732051e-20
7.039482e+03 1.154260e-15 1.732051e-20
7.043648e+03 1.561108e-15 2.000000e-20
7.047815e+03 1.181675e-15 1.732051e-20
7.051981e+03 1.162740e-15 1.732051e-20
7.056148e+03 1.492972e-15 2.000000e-20
7.060314e+03 1.144679e-15 1.732051e-20
7.064480e+03 1.142585e-15 1.732051e-20
7.068647e+03 1.512889e-15 2.000000e-20
7.072813e+03 1.128968e-15 1.732051e-20
7.076980e+03 1.158426e-15 1.732051e-20
7.081146e+03 1.536010e-15 2.000000e-20
7.085313e+03 1.128924e-15 1.732051e-20
7.089479e+03 1.113336e-15 1.732051e-20
7.093645e+03 1.508565e-15 2.000000e-20
7.097812e+03 1.118084e-15 1.732051e-20
7.101978e+03 1.130438e-15 1.732051e-20
7.106145e+03 1.497548e-15 2.000000e-20
7.110311e+03 1.139128e-15 1.732051e-20
7.114477e+03 1.113427e-15 1.732051e-20
7.118644e+03 1.489370e-15 2.000000e-20
7.122810e+03 1.133430e-15 1.732051e-20
7.126977e+03 1.117242e-15 1.732051e-20
7.131143e+03 1.465618e-15 2.000000e-20
7.135309e+03 1.132639e-15 1.732051e-20
7.139476e+03 1.125669e-15 1.732051e-20
7.143642e+03 1.451099e-15 2.000000e-20
7.147809e+03 1.098295e-15 1.732051e-20
7.151975e+03 1.083082e-15 1.732051e-20
7.156141e+03 1.088403e-15 1.732051e-20
7.160308e+03 1.425063e-15 2.000000e-20
7.164474e+03 1.100692e-15 1.732051e-20
7.168641e+03 1.070496e-15 1.732051e-20
7.172807e+03 1.448465e-15 2.000000e-20
7.176974e+03 1.085025e-15 1.732051e-20
7.181140e+03 1.060324e-15 1.732051e-20
7.185306e+03 1.404088e-15 2.000000e-20
7.189473e+03 1.105259e-15 1.732051e-20
7.193639e+03 1.092373e-15 1.732051e-20
7.197806e+03 1.437629e-15 2.000000e-20
7.201972e+03 1.064185e-15 1.732051e-20
7.206138e+03 1.082271e-15 1.732051e-20
7.210305e+03 1.427138e-15 2.000000e-20
7.214471e+03 1.046964e-15 1.732051e-20
7.218638e+03 1.050211e-15 1.732051e-20
7.222804e+03 1.377200e-15 2.000000e-20
7.226970e+03 1.074105e-15 1.732051e-20
7.231137e+03 1.050080e-15 1.732051e-20
7.235303e+03 1.416087e-15 2.000000e-20
7.239470e+03 1.034059e-15 1.732051e-20
