supernova_name,spextractor_pEW,spextractor_pEW_err,paper_pEW,paper_pEW_err,spextractor_vel,spextractor_vel_err,paper_vel,paper_vel_err
SN1999gp,47.7,3.9,104.6,2.4,11.4,0.8,10.6,0.2
SN2005eq,34.9,5.9,77.3,7.1,9.6,1.4,9.8,0.2
SN2009aa,78.5,2.1,63.2,2.6,19.0,0.4,10.9,0.4
SN2008cf,34.3,14.1,55.6,5.0,9.5,3.2,10.2,0.3
SN2008ec,110.8,3.8,119.3,3.1,11.1,0.3,10.8,0.7
SN2012fr,N/A,N/A,70.5,3.1,N/A,N/A,12.1,0.2
ASASSN-15ba,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2007bc,99.5,3.8,100.0,2.4,10.5,0.4,10.6,0.3
SN2004dt,N/A,N/A,167.0,3.0,N/A,N/A,16.0,0.0
SN2012ij,115.5,5.2,121.5,4.7,10.1,0.4,10.8,0.3
SN2008gp,N/A,N/A,43.7,3.1,N/A,N/A,11.0,0.3
SN2004at,78.9,5.5,92.6,2.3,12.1,0.5,10.7,0.2
SN2000fa,108.1,5.3,83.4,4.8,15.4,1.1,11.9,0.3
SN2007ba,-1.8,1.2,94.9,3.0,7.4,0.3,10.8,0.2
SN2008O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2013gy,102.0,7.7,114.1,4.3,14.3,0.9,10.2,0.3
SN2008fl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2006hb,116.5,3.4,N/A,N/A,15.2,0.2,N/A,N/A
SN2008bf,1.6,0.5,79.0,4.8,9.6,0.9,11.3,0.2
SN2011iv,94.5,2.1,88.6,2.0,10.3,0.2,10.9,0.2
SN2005cf,129.0,13.1,89.7,1.2,16.8,0.7,10.3,0.3
SN2008hv,N/A,N/A,96.7,3.3,N/A,N/A,10.8,0.4
SN2008go,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2008ia,N/A,N/A,105.9,4.2,N/A,N/A,11.4,0.4
SN1998dh,110.2,1.9,124.6,2.0,13.6,0.5,12.4,0.2
ASASSN-15be,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN2008fw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASASSN-15al,77.6,8.2,81.7,5.5,10.6,0.2,11.7,0.1
SN2008bc,N/A,N/A,105.0,6.5,N/A,N/A,11.7,0.2
